LabelCode,Artist,Title,Label,Format,Released
VR210,Between The Buried And Me,The Silent Circus,Victory Records,"2xLP, Ltd, Red",2011
VR246,Comeback Kid,Wake The Dead,Victory Records,"LP, Album, RE, Ltd, Roy",2013
VR297,Between the Buried and Me,The Anatomy Of,Victory Records,"2xLP, Ltd, Tra",2013
VR323,Comeback Kid,Broadcasting...,Victory Records,"LP, Cle",2007
VR351,Between The Buried And Me,Colors,Victory Records,"2xLP, Album, Ltd, RP, Yel",2011
VR718,Comeback Kid,Rain City Sessions +1,Victory Records,"10"", EP, Sol",2015
VD-005,U.S. Bombs,Put Strength In The Final Blow,Vinyl Dog Records,LP,1995
50999 67928 9 10,"Smashing Pumpkins, The",Siamese Dream,Virgin,"2xLP, Album, RE, RM, 180",2011
5099946425416,"Smashing Pumpkins, The",Pisces Iscariot,Virgin,"2xLP, RE, RM, Comp, 180",2012
5099990959615,"Smashing Pumpkins, The",Gish,Virgin,"LP, Album, RE, RM, 180",2011
VD2510,Sex Pistols,The Great Rock 'N' Roll Swindle,Virgin,"2xLP, Album, RE, RM, Gat",2010
"7243 8 41655 1 2, HUTTLP 30","Smashing Pumpkins, The",Mellon Collie And The Infinite Sadness,"Virgin (2), Hut Recordings (2)","3xLP, RP, Ltd, Unofficial",2009
"V 2821, 7243 8 42609 10",Daft Punk,Homework,"Virgin, Virgin","2xLP, Album, Gat",1997
"V2940, 7243 8496061 2, 8496061",Daft Punk,Discovery,"Virgin, Virgin, Virgin","2xLP, Album",2001
"VOLT S-419, S 419, VOLT 419",Otis Redding,The Dock Of The Bay,"Volt, Volt, Volt","LP, Album, Bro",1968
1-25109,"Time, The",Ice Cream Castle,Warner Bros. Records,"LP, Album",1984
544681,Gary Clark Jr.,Live,Warner Bros. Records,"2xLP, Album",2014
9 25993-1,Jane's Addiction,Ritual De Lo Habitual,Warner Bros. Records,"LP, Album",1990
92 37011,"Time, The",What Time Is It?,Warner Bros. Records,"LP, Album",1982
WS 1428,"Ray Eberle, Tex Beneke, Modernaires, The, Paula Kelly - Glenn Miller And His Orchestra",Live Concert,Warner Bros. Records,LP,1961
"7-534811 (K1), 7-534811-7","Stooges, The & Black Keys, The",No Fun,"Warner Bros. Records, Elektra, Alive Records","7"", Ltd, Ora",2013
527424-7,Hüsker Dü / Green Day,Don't Want To Know If You Are Lonely,"Warner Bros. Records, Reprise Records","7"", Single, Ltd, Ora",2011
"7-530318-7 , 7-530318 (K1)","Flaming Lips, The / Mastodon",A Spoonful Weighs A Ton,"Warner Bros. Records, Reprise Records, Warner Bros. Records, Reprise Records","7"", Single, Ltd, Pin",2012
"1-23701, 9 23701-1","Time, The",What Time Is It?,"Warner Bros. Records, Warner Bros. Records","LP, Album",1982
WAP105,Aphex Twin,Windowlicker,Warp Records,"12"", Single",1999
WAP327,Battles,Dross Glop 1,Warp Records,"12"", Single",2012
WARP LP212,Battles,Gloss Drop,Warp Records,"2xLP, Album",2011
WV99,Lymbyc Systym,Symbolyst,Western Vinyl,"LP, Album, Whi",2012
WYR ?0109,Fucked Up,Year Of The Rat B/W First Born,What's Your Rupture?,"12""",2009
XLLP529,"Tyler, The Creator",Goblin,XL Recordings,"2xLP, Album",2011
"XL LP 450, YT031LP","XX, The",XX,"XL Recordings, Young Turks","LP, Album",2009
YT080LPX,"XX, The",Coexist,Young Turks,"LP, Album, Dlx, Ltd",2012
YT090T,"XX, The",Jamie xx Edits,Young Turks,"12"", Single, Ltd",2013
YC-LS 025,"International Noise Conspiracy, The",Your Choice Live Series,Your Choice Records,"LP, Ltd",2002
